name,career_length,ppg,trb,ast,per,ws,hof_pred_log,hof_pred_log_proba
LeBron James,16,27.2,7.4,7.2,27.6,226.6,1,0.9999939857381637
Chris Paul,14,18.5,4.5,9.7,25.3,171.5,1,0.9994156645828782
Tim Duncan,19,19.0,10.8,3.0,24.2,206.4,1,0.9994082600788965
Dirk Nowitzki,21,20.7,7.5,2.4,22.4,206.3,1,0.9981098209577219
Kevin Durant,12,27.0,7.1,4.1,25.2,141.7,1,0.9980248497818691
Kevin Garnett,21,17.8,10.0,3.7,22.7,191.4,1,0.9960381388332162
James Harden,10,24.3,5.2,6.2,24.4,121.9,1,0.9953461985706844
Kobe Bryant,20,25.0,5.2,4.7,22.9,172.7,1,0.9943910630557561
Russell Westbrook,11,23.0,7.0,8.4,23.7,96.9,1,0.9825608165297166
Stephen Curry,10,23.5,4.5,6.6,23.8,102.9,1,0.9787519606634593
Dwight Howard,15,17.4,12.6,1.5,21.6,128.9,1,0.9484373613704231
Paul Pierce,19,19.7,5.6,3.5,19.7,150.0,1,0.9436332442928715
Pau Gasol,18,17.0,9.2,3.2,21.4,144.1,1,0.9390992436501396
Damian Lillard,7,23.5,4.2,6.3,21.4,70.3,1,0.9281692884883427
Dwyane Wade,16,22.0,4.7,5.4,23.5,120.7,1,0.9083214926623882
Blake Griffin,9,21.9,9.0,4.5,22.2,75.3,1,0.899938066588584
Anthony Davis,7,23.7,10.5,2.1,27.4,72.0,1,0.8900242193074877
LaMarcus Aldridge,13,19.6,8.4,2.0,20.9,107.0,1,0.8578469556648741
Chris Bosh,13,19.2,8.5,2.0,20.6,106.0,1,0.844782875082728
Karl-Anthony Towns,4,22.3,11.9,2.6,25.0,45.4,1,0.8354152665236962
Carmelo Anthony,16,24.0,6.5,3.0,20.3,101.0,1,0.738229007259386
Giannis Antetokounmpo,6,18.8,8.3,4.1,21.9,53.2,1,0.6972592938465167
Kevin Love,11,18.3,11.3,2.3,21.9,78.2,1,0.6794425253703523
Ben Simmons,2,16.4,8.5,7.9,20.0,17.5,1,0.6646605228626986
Kyrie Irving,8,22.2,3.6,5.7,22.1,58.4,1,0.6591912144647094
Deron Williams,12,16.3,3.1,8.1,18.2,77.3,1,0.6242230703570494
Nikola Jokic,4,16.3,9.6,5.1,24.8,38.9,1,0.5966087462577273
Paul George,9,19.8,6.4,3.3,19.2,65.2,1,0.5920990476581572
Joel Embiid,3,24.3,11.4,3.2,24.5,16.8,1,0.5909731817540713
Luka Doncic,1,21.2,7.8,6.0,19.6,4.9,1,0.5672337977339083
John Wall,9,19.0,4.3,9.2,19.4,44.3,1,0.5428765300435718
Marc Gasol,11,15.0,7.7,3.4,18.5,79.5,1,0.5389845433617113
Al Horford,12,14.1,8.4,3.2,18.9,85.7,1,0.5296728139828242
Kyle Lowry,13,14.4,4.3,6.1,18.4,86.7,1,0.510715250228051
Andre Drummond,7,14.1,13.7,1.2,22.1,56.4,0,0.4853536172929647
Jimmy Butler,8,16.7,4.9,3.5,20.0,66.1,0,0.4812307301839064
Elton Brand,17,15.9,8.5,2.1,20.5,109.6,0,0.47049446138038226
Trae Young,1,19.1,3.7,8.1,17.0,3.3,0,0.4609249760175651
Kawhi Leonard,8,17.7,6.3,2.4,22.6,65.8,0,0.4458191196552988
Tony Parker,18,15.5,2.7,5.6,18.2,111.3,0,0.43440530789204945
Amar'e Stoudemire,14,18.9,7.8,1.2,21.8,92.5,0,0.43317294326331585
Kemba Walker,8,19.8,3.8,5.5,19.3,48.5,0,0.42207615130051424
DeMarcus Cousins,9,21.2,10.9,3.2,22.4,44.1,0,0.41574614552612427
Vince Carter,21,17.2,4.4,3.2,18.8,125.5,0,0.37456345673939945
