name,active_from,active_to,career_length,birth_date,position,trad_position,ppg,trb,ast,fgp,per,ws,height_inches,weight,shooting_hand,hof,college,hs_name,hs_city,hs_state,url
Alaa Abdelnaby,1990,1995,5,1968-06-24,Power Forward,Forward,5.7,3.3,0.3,50.2,13.0,4.8,82.0,240.0,Right,0.0,Duke University,Bloomfield ,Bloomfield,New Jersey,/players/a/abdelal01.html
Zaid Abdul-Aziz,1968,1978,10,1946-04-07,Center,Center,9.0,8.0,1.2,42.8,15.1,17.5,81.0,235.0,Right,0.0,Iowa State University,John Jay ,Brooklyn,New York,/players/a/abdulza01.html
Kareem Abdul-Jabbar,1969,1989,20,1947-04-16,Center,Center,24.6,11.2,3.6,55.9,24.6,273.4,86.0,225.0,Right,1.0,"University of California, Los Angeles",Power Memorial ,New York,New York,/players/a/abdulka01.html
Mahmoud Abdul-Rauf,1990,2001,11,1969-03-09,Point Guard,Guard,14.6,1.9,3.5,44.2,15.4,25.2,73.0,162.0,Right,0.0,Louisiana State University,Gulfport ,Gulfport,Mississippi,/players/a/abdulma02.html
Tariq Abdul-Wahad,1997,2003,6,1974-11-03,Shooting Guard,Guard,7.8,3.3,1.1,41.7,11.4,3.5,78.0,223.0,Right,0.0,"University of Michigan, San Jose State University",Lycee Aristide Briand ,Evreux,France,/players/a/abdulta01.html
Shareef Abdur-Rahim,1996,2008,12,1976-12-11,Small Forward,Forward,18.1,7.5,2.5,47.2,19.0,71.2,81.0,225.0,Right,0.0,University of California,Wheeler ,Marietta,Georgia,/players/a/abdursh01.html
Tom Abernethy,1976,1981,5,1954-05-06,Power Forward,Forward,5.6,3.2,1.2,49.2,12.9,13.4,79.0,220.0,Right,0.0,Indiana University,Saint Joseph ,South Bend,Indiana,/players/a/abernto01.html
Forest Able,1956,1957,1,1932-07-27,Point Guard,Guard,0.0,1.0,1.0,0.0,-41.1,0.0,75.0,180.0,Right,0.0,Western Kentucky University,Fairdale ,Louisville,Kentucky,/players/a/ablefo01.html
John Abramovic,1946,1948,2,1919-02-09,Small Forward,Forward,9.5,,0.7,23.7,,-1.9,75.0,195.0,Right,0.0,Salem International University,Etna ,Etna,Pennsylvania,/players/a/abramjo01.html
Alex Abrines,2016,2019,3,1993-08-01,Shooting Guard,Guard,5.3,1.4,0.5,38.7,8.8,5.0,78.0,200.0,Right,0.0,,,,,/players/a/abrinal01.html
Alex Acker,2005,2009,4,1983-01-21,Shooting Guard,Guard,2.7,1.0,0.5,37.0,8.5,-0.2,77.0,185.0,Right,0.0,Pepperdine University,Eisenhower ,Rialto,California,/players/a/ackeral01.html
Don Ackerman,1953,1954,1,1930-09-04,Point Guard,Guard,1.5,0.5,0.8,22.2,1.0,-0.6,72.0,183.0,Right,0.0,Long Island University,Metropolitan ,New York,New York,/players/a/ackerdo01.html
Mark Acres,1987,1993,6,1962-11-15,Center,Center,3.6,4.1,0.5,50.6,9.0,9.3,83.0,220.0,Right,0.0,Oral Roberts University,Palos Verdes ,Palos Verdes Estates,California,/players/a/acresma01.html
Bud Acton,1967,1968,1,1942-01-11,Small Forward,Forward,3.3,2.0,0.5,39.2,9.5,0.1,78.0,210.0,Right,0.0,Hillsdale College,Troy ,Troy,Michigan,/players/a/actonbu01.html
Quincy Acy,2012,2019,7,1990-10-06,Power Forward,Forward,4.9,3.5,0.6,44.4,11.2,8.7,79.0,240.0,Right,0.0,Baylor University,Mesquite Horn ,Mesquite,Texas,/players/a/acyqu01.html
Alvan Adams,1975,1988,13,1954-07-19,Center,Center,14.1,7.0,4.1,49.8,18.3,73.5,81.0,210.0,Right,0.0,University of Oklahoma,Putnam City ,Warr Acres,Oklahoma,/players/a/adamsal01.html
Don Adams,1970,1977,7,1947-11-27,Small Forward,Forward,8.8,5.6,1.9,40.2,10.7,11.7,78.0,210.0,Right,0.0,Northwestern University,South Fulton ,South Fulton,Georgia,/players/a/adamsdo01.html
George Adams,1972,1975,3,1949-05-15,Small Forward,Forward,7.7,4.1,1.5,49.7,14.0,6.6,77.0,210.0,Right,0.0,Gardner-Webb University,,,,/players/a/adamsge01.html
Hassan Adams,2006,2009,3,1984-06-20,Shooting Guard,Guard,2.5,1.2,0.2,53.4,11.8,0.8,76.0,220.0,Right,0.0,University of Arizona,Westchester ,Los Angeles,California,/players/a/adamsha01.html
Jaylen Adams,2018,2019,1,1996-05-04,Point Guard,Guard,3.2,1.8,1.9,34.5,7.6,0.1,74.0,190.0,Right,0.0,St. Bonaventure University,Mount St. Joseph ,Baltimore,Maryland,/players/a/adamsja01.html
Jordan Adams,2014,2016,2,1994-07-08,Shooting Guard,Guard,3.2,0.9,0.6,40.2,13.1,0.4,77.0,209.0,Right,0.0,"University of California, Los Angeles",Oak Hill Academy ,Mouth of Wilson,Virginia,/players/a/adamsjo01.html
Michael Adams,1985,1996,11,1963-01-19,Point Guard,Guard,14.7,2.9,6.4,41.5,16.6,46.9,70.0,162.0,Right,0.0,Boston College,Hartford Public ,Hartford,Connecticut,/players/a/adamsmi01.html
Steven Adams,2013,2019,6,1993-07-20,Center,Center,9.7,7.4,1.0,58.8,16.7,38.7,84.0,265.0,Right,0.0,University of Pittsburgh,Notre Dame Preparatory School ,Fitchburg,Massachusetts,/players/a/adamsst01.html
Rafael Addison,1986,1997,11,1964-07-22,Small Forward,Forward,5.8,2.1,0.9,44.9,10.5,4.9,79.0,215.0,Right,0.0,Syracuse University,Snyder ,Jersey City,New Jersey,/players/a/addisra01.html
Bam Adebayo,2017,2019,2,1997-07-18,Center,Center,8.0,6.5,1.9,55.0,17.0,11.0,82.0,255.0,Right,0.0,University of Kentucky,High Point Christian Academy ,High Point,North Carolina,/players/a/adebaba01.html
Deng Adel,2018,2019,1,1997-02-01,Small Forward,Forward,1.7,1.0,0.3,30.6,2.7,-0.2,79.0,200.0,Right,0.0,University of Louisville,Victoria Rock Prep HS ,Bradenton,Florida,/players/a/adelde01.html
Rick Adelman,1968,1975,7,1946-06-16,Point Guard,Guard,7.7,2.4,3.5,41.5,11.3,10.0,73.0,175.0,Right,0.0,Loyola Marymount University,Saint Pius X ,Downey,California,/players/a/adelmri01.html
Jeff Adrien,2010,2015,5,1986-02-10,Power Forward,Forward,4.6,4.3,0.7,47.4,15.0,4.4,79.0,245.0,Right,0.0,University of Connecticut,Brewster Academy ,Wolfeboro,New Hampshire,/players/a/adrieje01.html
Arron Afflalo,2007,2018,11,1985-10-15,Small Forward,Forward,10.8,2.9,1.8,45.0,11.9,33.5,77.0,210.0,Right,0.0,"University of California, Los Angeles",Centennial ,Compton,California,/players/a/afflaar01.html
Maurice Ager,2006,2011,5,1984-02-09,Shooting Guard,Guard,2.1,0.6,0.2,33.9,2.8,-0.9,77.0,202.0,Right,0.0,Michigan State University,Crocket ,Detroit,Michigan,/players/a/agerma01.html
Mark Aguirre,1981,1994,13,1959-12-10,Small Forward,Forward,20.0,5.0,3.1,48.4,19.0,67.8,78.0,232.0,Right,0.0,DePaul University,George Westinghouse ,Chicago,Illinois,/players/a/aguirma01.html
Blake Ahearn,2007,2012,5,1984-05-27,Point Guard,Guard,4.6,1.2,1.2,27.3,7.2,-0.2,74.0,190.0,Right,0.0,Missouri State University,De Smet Jesuit ,Creve Coeur,Missouri,/players/a/ahearbl01.html
