ppg,trb,ast,fgp,per,ws,position,shooting_hand,draft,high_school,hof,url,hs_city,hs_state,hs_name,trad_position
5.7,3.3,0.3,50.2,13.0,4.8,Power Forward,Right,"Portland Trail Blazers, 1st round (25th pick, 25th overall), 1990 NBA Draft","Bloomfield  in  Bloomfield,        New Jersey",0,/players/a/abdelal01.html,Bloomfield,New Jersey,Bloomfield ,Forward
9.0,8.0,1.2,42.8,15.1,17.5,Center,Right,"Cincinnati Royals, 1st round (5th pick, 5th overall), 1968 NBA Draft","John Jay  in  Brooklyn,        New York",0,/players/a/abdulza01.html,Brooklyn,New York,John Jay ,Center
24.6,11.2,3.6,55.9,24.6,273.4,Center,Right,"Milwaukee Bucks, 1st round (1st pick, 1st overall), 1969 NBA Draft","Power Memorial  in  New York,        New York",1,/players/a/abdulka01.html,New York,New York,Power Memorial ,Center
14.6,1.9,3.5,44.2,15.4,25.2,Point Guard,Right,"Denver Nuggets, 1st round (3rd pick, 3rd overall), 1990 NBA Draft","Gulfport  in  Gulfport,        Mississippi",0,/players/a/abdulma02.html,Gulfport,Mississippi,Gulfport ,Guard
7.8,3.3,1.1,41.7,11.4,3.5,Shooting Guard,Right,"Sacramento Kings, 1st round (11th pick, 11th overall), 1997 NBA Draft","Lycee Aristide Briand  in  Evreux,      France  ",0,/players/a/abdulta01.html,Evreux,France,Lycee Aristide Briand ,Guard
18.1,7.5,2.5,47.2,19.0,71.2,Small Forward,Right,"Vancouver Grizzlies, 1st round (3rd pick, 3rd overall), 1996 NBA Draft","Wheeler  in  Marietta,        Georgia",0,/players/a/abdursh01.html,Marietta,Georgia,Wheeler ,Forward
5.6,3.2,1.2,49.2,12.9,13.4,Power Forward,Right,"Los Angeles Lakers, 3rd round (9th pick, 43rd overall), 1976 NBA Draft","Saint Joseph  in  South Bend,        Indiana",0,/players/a/abernto01.html,South Bend,Indiana,Saint Joseph ,Forward
0.0,1.0,1.0,0.0,-41.1,0.0,Point Guard,Right,"Syracuse Nationals, 1956 NBA Draft","Fairdale  in  Louisville,        Kentucky",0,/players/a/ablefo01.html,Louisville,Kentucky,Fairdale ,Guard
9.5,-,0.7,23.7,-,-1.9,Small Forward,Right,,"Etna  in  Etna,        Pennsylvania",0,/players/a/abramjo01.html,Etna,Pennsylvania,Etna ,Forward
5.3,1.4,0.5,38.7,8.8,5.0,Shooting Guard,Right,"Oklahoma City Thunder, 2nd round (2nd pick, 32nd overall), 2013 NBA Draft",,0,/players/a/abrinal01.html,,,,Guard
2.7,1.0,0.5,37.0,8.5,-0.2,Shooting Guard,Right,"Detroit Pistons, 2nd round (30th pick, 60th overall), 2005 NBA Draft","Eisenhower  in  Rialto,        California",0,/players/a/ackeral01.html,Rialto,California,Eisenhower ,Guard
1.5,0.5,0.8,22.2,1.0,-0.6,Point Guard,Right,"New York Knicks, 2nd round, 1953 NBA Draft","Metropolitan  in  New York,        New York",0,/players/a/ackerdo01.html,New York,New York,Metropolitan ,Guard
